title,latitude,longitude,additional_info
Petőfibánya / Lőrinci,47.7617145035384,19.71393585205078,N/A
Sármellék,46.73939003131784,17.13970184326172,N/A
Tapolca-2,46.869580496513265,17.523193359375,N/A
Tapolca-1,46.87920300999954,17.50774383544922,N/A
Szentgál,47.10682175890551,17.73296356201172,N/A
Örvényes,46.917675810508854,17.81536102294922,N/A
Öcs,47.00554343568675,17.61760711669922,N/A
Nemesvita,46.82567056531053,17.354965209960938,N/A
Nemeshany-2,47.06942030497271,17.369728088378906,N/A
Nemeshany-1,47.069654145618784,17.370071411132812,N/A
Monoszló,46.90501098543376,17.640953063964844,N/A
Magyargencs,47.363013440133926,17.26226806640625,N/A
Lovászpatona,47.44643284108918,17.646102905273438,N/A
Kemeneshőgyész,47.36208323188103,17.26226806640625,N/A
Jásd,47.28412007756302,18.025474548339844,N/A
Homokbödöge,47.29902342195592,17.593917846679688,N/A
Csopak,46.99055757353145,17.914581298828125,N/A
Balatonkenese,47.02824837080607,18.136024475097656,N/A
Regöly,46.581990410058864,18.39935302734375,N/A
Pálfa-2,46.72174075257456,18.61358642578125,N/A
Pálfa-1,46.721505389841695,18.61083984375,N/A
Magyarkeszi,46.747389135158414,18.21533203125,N/A
Koppányszántó,46.58552986211728,18.109588623046875,N/A
Iregszemcse,46.68430518061325,18.189926147460938,N/A
Törökkoppány,46.594495439773596,18.046417236328125,N/A
Tengőd,46.71279624691053,18.083152770996094,N/A
Somogytúr,46.700083083079306,17.765579223632812,N/A
Polány,46.5590963744298,17.770729064941406,N/A
Nagycsepely-2,46.74433079442403,17.81707763671875,N/A
Kisbárapáti,46.612422146055394,17.859649658203125,N/A
Fonyód,46.7377430096642,17.547569274902344,N/A
Felsőmocsolád,46.571370667364846,17.82360076904297,N/A
Bonnya,46.59355176459508,17.900848388671875,N/A
Bedegkér,46.6576842453851,18.077316284179688,N/A
Tárnok,47.38370633139431,18.836746215820312,N/A
Tápiószecső,47.44666502261754,19.587936401367188,N/A
Nagymaros,47.79678227931686,18.954849243164062,N/A
Kistarcsa,47.541541346075405,19.287872314453125,N/A
Bárna,48.10169964474838,19.931259155273438,N/A
Karancsalja,48.13630844147667,19.75341796875,N/A
Cserhátsurány,47.97406492006431,19.42554473876953,N/A
Mohora,47.98969189426484,19.33765411376953,N/A
Nógrádmarcal,48.02644258595842,19.381256103515625,N/A
Magyarnándor,47.96441060212186,19.348983764648438,N/A
Cserháthaláp/Nagyhaláp,47.98348763252895,19.375076293945312,N/A
Nőtincs,47.88181552063898,19.14813995361328,N/A
Zagyvaszántó,47.77925134809706,19.668960571289062,N/A
Kisbágyon,47.82514217887777,19.578323364257812,N/A
Bér,47.86362229657536,19.498672485351562,N/A
Buják,47.88227602569168,19.537124633789062,N/A
Héhalom,47.77440623229447,19.590682983398438,N/A
Egyházasdengeleg,47.797474168446996,19.563217163085938,N/A
Zagyvapáfalva/Pálfalva,48.06569093979212,19.782257080078125,N/A
Mátranovák,48.04848043160169,19.985504150390625,N/A
Szente,47.96831851964919,19.287872314453125,N/A
Sámsonháza,47.99038121064382,19.719085693359375,N/A
Rétság,47.926925559696855,19.143333435058594,N/A
Palotás,47.792169449659866,19.59857940673828,N/A
Őrhalom,48.07807894349861,19.399452209472656,N/A
Nógrádsáp,47.83966198362694,19.35894012451172,N/A
Nógrádmegyer,48.072573532247475,19.624671936035156,N/A
Mihálygerge,48.19813361113583,19.633255004882812,N/A
Mátraterenye,48.0271314113225,19.955978393554688,N/A
Lucfalva,48.02942742938251,19.695396423339844,N/A
Legénd,47.874216596242775,19.318771362304688,N/A
Kisecset,47.9356668340283,19.317398071289062,N/A
Karancskeszi,48.16562744253031,19.69951629638672,N/A
Kálló,47.74878883398736,19.487686157226562,N/A
Jobbágyi,47.82906062165469,19.669647216796875,N/A
Erdőkürt,47.76863764860897,19.458160400390625,N/A
Csitár,48.05513584361998,19.43035125732422,N/A
Vértesszőlős,47.62236385985821,18.378753662109375,N/A
Sárisáp,47.678102570091596,18.682937622070312,N/A
Réde,47.43087434400903,17.923851013183594,N/A
Nagysáp,47.68365005613114,18.608779907226562,N/A
Bokod,47.49702417435117,18.239707946777344,N/A
Tiszapüspöki,47.21117290969667,20.305824279785156,N/A
Rákóczifalva,47.09163058564968,20.212440490722656,N/A
Kunszentmárton-1,46.82637528602132,20.28247833251953,N/A
Jásztelek,47.49006495411791,19.99614715576172,N/A
Besenyszög,47.2936680160046,20.258445739746094,N/A
Nagykökényes,47.732165397921364,19.60063934326172,N/A
Egerszalók,47.897010025966864,20.32470703125,N/A
Kerecsend,47.79908854058746,20.354232788085938,N/A
Terpes,47.972455992402445,20.152015686035156,N/A
Kisfüzes,47.98854301317286,20.130386352539062,N/A
Fedémes,48.031034581163794,20.186004638671875,N/A
Szarvaskő,47.98693453667707,20.32848358154297,N/A
Erdőkövesd,48.04297185391684,20.09571075439453,N/A
Egercsehi,48.054217906894394,20.269432067871094,N/A
Tarnalelesz,48.06270819720973,20.1763916015625,N/A
Mikófalva,48.05008698911922,20.314407348632812,N/A
Bekölce,48.07807894349861,20.271835327148438,N/A
Ivád,48.0172573680851,20.061378479003906,N/A
Mátramindszent,47.97866158001139,19.93194580078125,N/A
Szentdomonkos,48.070508851157456,20.19184112548828,N/A
Szuha,47.97705279557945,19.91992950439453,N/A
Egerbakta,47.93658688221731,20.292091369628906,N/A
